rad,p_estacao,p_mar,pmax,pmin,t_seco,tmax,tmin,t_orvalho,tomax,tomin,prec,urar,urmax,urmin,ventodir,rajada,ventovel
813.145,1009.6858333333333,1010.3858333333334,1015.8,1002.3,24.87,33.2,20.3,20.321666666666665,23.7,17.8,19.0,76.41666666666667,89.0,51.0,184.16666666666666,13.9,3.145
956.5172619047619,1009.1958333333333,1009.8958333333334,1015.0,1003.9,26.616666666666667,34.6,21.3,21.59285714285714,25.2,17.8,55.0,74.73809523809524,91.0,41.0,163.99404761904762,12.4,2.1869047619047617
988.5357142857143,1016.1226190476191,1016.8440476190475,1022.3,1007.7,24.93452380952381,31.5,18.8,17.574404761904763,24.2,10.4,1.4,64.57738095238095,88.0,37.0,176.17261904761904,14.8,2.505952380952381
912.6904761904761,1011.0035714285715,1011.7142857142857,1016.5,1007.7,24.049404761904764,32.0,17.2,18.66547619047619,21.7,13.8,50.0,73.19642857142857,91.0,41.0,167.5952380952381,11.3,2.0916666666666663
855.7035714285715,1011.7375,1012.4375,1016.5,1007.1,25.492857142857144,32.6,21.6,20.85654761904762,23.8,17.0,15.799999999999999,76.11309523809524,89.0,52.0,197.9702380952381,13.1,1.9577380952380952
667.4863095238095,1014.4678571428572,1015.1702380952381,1018.4,1007.2,25.236309523809524,30.0,21.5,21.553571428571427,24.2,17.5,159.4,80.60119047619048,92.0,52.0,152.7202380952381,13.6,1.9422619047619047
854.2130952380952,1015.507142857143,1016.2333333333333,1019.3,1009.7,24.192261904761907,31.6,17.9,18.448214285714286,23.4,14.9,3.8000000000000003,71.23214285714286,90.0,47.0,175.79166666666666,10.4,2.0136904761904764
846.8011904761905,1012.6166666666667,1013.3339285714286,1020.8,1005.7,25.097619047619045,32.3,15.8,18.95654761904762,25.0,9.1,1.8,69.47619047619048,90.0,38.0,168.8452380952381,14.5,2.656547619047619
906.8142857142857,1014.8642857142858,1015.5928571428572,1022.0,1004.9,23.414285714285715,29.3,16.4,17.126785714285717,22.1,8.4,29.0,69.06547619047619,92.0,29.0,179.58928571428572,14.8,2.093452380952381
814.2666666666667,1017.0160714285715,1017.7595238095239,1022.6,1012.7,23.005357142857143,28.5,17.3,17.736309523809524,20.8,13.1,24.0,73.08928571428571,91.0,44.0,179.23809523809524,10.4,2.1083333333333334
1019.1011904761905,1015.4636904761904,1016.1738095238096,1017.9,1010.2,25.827380952380953,32.1,19.5,19.692857142857143,22.8,15.5,0.4,70.33333333333333,90.0,40.0,168.4702380952381,10.6,2.1202380952380953
717.1678571428571,1012.4857142857143,1013.1934523809524,1019.4,1004.7,24.70357142857143,32.1,18.0,19.929166666666667,23.2,13.8,12.6,75.58928571428571,91.0,48.0,188.51785714285714,13.1,2.0880952380952382
813.757738095238,1017.8107142857143,1018.5404761904762,1022.1,1014.0,24.264285714285716,30.7,19.3,17.77916666666667,21.6,12.7,2.6,68.42261904761905,89.0,35.0,154.83333333333334,9.2,1.6666666666666667
747.875,1012.6922619047618,1013.4041666666666,1017.8,1004.1,24.475,32.1,16.5,17.583928571428572,22.9,7.1,0.4,67.32738095238095,90.0,28.0,197.63095238095238,11.7,2.0678571428571426
758.8428571428572,1016.6636904761905,1017.4345238095239,1020.8,1012.0,20.32916666666667,27.1,12.1,13.477976190476191,19.2,5.1,9.8,66.22619047619048,93.0,31.0,195.73809523809524,12.9,2.1577380952380953
758.0035714285715,1017.8386904761904,1018.6017857142857,1025.5,1003.8,20.538095238095238,28.0,11.3,13.2625,18.9,3.0,2.0,65.33333333333333,90.0,23.0,208.70238095238096,9.8,1.6357142857142857
743.5059523809524,1018.5333333333334,1019.2797619047619,1022.6,1014.9,22.29583333333333,29.0,15.7,17.113690476190477,20.8,13.1,0.2,73.99404761904762,92.0,39.0,190.7202380952381,13.3,1.6678571428571427
512.175,1019.1553571428572,1019.9232142857143,1026.1,1013.3,22.15892857142857,29.7,14.2,16.598214285714285,21.3,9.3,2.8000000000000003,71.57738095238095,90.0,42.0,163.76190476190476,12.2,2.0333333333333337
517.8107142857143,1018.1232142857143,1018.9047619047619,1025.9,1008.4,19.0,26.3,10.7,13.411904761904761,18.7,5.9,2.8,71.42857142857143,91.0,40.0,205.6547619047619,12.2,1.7613095238095238
513.7255952380953,1016.3964285714286,1017.1708333333333,1022.4,1008.9,19.386904761904763,28.4,10.4,14.204166666666667,19.5,3.1,6.2,73.5297619047619,93.0,30.0,205.73809523809524,11.3,1.4779761904761906
456.5571428571429,1016.8732142857143,1017.6297619047618,1025.8,1005.6,20.55,26.6,12.2,15.095833333333333,20.9,5.5,5.0,72.58928571428571,92.0,28.0,224.5297619047619,11.0,1.5339285714285713
582.6113095238095,1015.5744047619048,1016.3559523809523,1021.8,1006.3,16.967261904761905,29.1,8.4,10.525595238095239,15.6,2.8,0.4,68.9702380952381,94.0,24.0,214.13095238095238,12.1,1.3398809523809523
317.89101796407186,1018.8730538922155,1019.6640718562874,1026.2,1010.8,18.141916167664668,25.1,11.9,13.360479041916166,20.7,5.3,67.0,74.95209580838323,93.0,40.0,181.32934131736528,12.5,1.7377245508982035
370.52261904761906,1015.4083333333334,1016.1869047619048,1029.9,1009.1,19.15416666666667,29.5,12.3,15.508333333333335,20.8,5.9,19.400000000000002,80.19047619047619,93.0,48.0,207.17261904761904,14.0,1.8261904761904764
379.7446428571428,1020.0154761904762,1020.7910714285714,1030.5,1013.0,20.60238095238095,33.0,13.6,16.01666666666667,18.5,6.1,5.800000000000001,76.86904761904762,93.0,26.0,223.67261904761904,10.4,1.544047619047619
420.25178571428575,1016.555357142857,1017.332738095238,1025.1,1006.5,18.35,29.5,10.8,13.196428571428571,19.8,5.3,10.6,73.48214285714286,93.0,29.0,210.48214285714286,15.3,2.1904761904761907
384.1714285714286,1015.4619047619047,1016.2488095238094,1025.6,996.2,15.795833333333333,23.4,7.7,9.716666666666667,17.6,2.3,23.2,69.08928571428571,92.0,29.0,229.3452380952381,25.6,2.0035714285714286
288.94850299401196,1015.4359281437125,1016.2275449101796,1022.9,1004.8,16.52814371257485,23.0,8.4,12.909580838323354,18.1,4.7,58.6,80.19760479041916,93.0,38.0,206.26347305389223,13.1,1.6664670658682634
491.11556886227544,1021.3646706586826,1022.1634730538922,1027.6,1011.3,16.382035928143715,23.7,8.1,12.192215568862276,17.2,5.6,20.8,76.91616766467065,92.0,54.0,187.20359281437126,10.2,1.8778443113772456
472.83809523809526,1017.9220238095238,1018.7005952380953,1027.1,1012.2,18.926190476190477,28.6,12.5,14.582738095238096,18.1,8.2,0.4,77.30952380952381,93.0,39.0,208.17261904761904,12.8,1.4523809523809523
413.1672619047619,1023.9958333333333,1024.7958333333333,1030.8,1012.8,15.885714285714286,24.0,6.0,11.451785714285714,16.4,2.7,15.2,75.77380952380952,94.0,50.0,187.0952380952381,13.1,1.9994047619047617
676.0964285714285,1025.3994047619049,1026.1976190476191,1029.3,1018.4,18.548809523809524,24.7,12.4,14.41904761904762,17.0,11.4,0.6000000000000001,78.21428571428571,94.0,47.0,195.60119047619048,10.1,1.5505952380952381
349.3395209580838,1013.9502994011976,1014.740119760479,1019.8,1006.2,17.835329341317365,25.2,13.8,14.374251497005988,17.5,8.6,84.2,80.74251497005989,93.0,54.0,188.52694610778443,16.8,2.125748502994012
397.95238095238096,1020.707738095238,1021.5041666666667,1029.4,1007.2,14.995238095238093,21.7,6.3,10.2375,17.2,-3.4,22.6,74.32738095238095,93.0,37.0,196.29166666666666,12.8,2.1053571428571427
798.9988095238094,1018.602380952381,1019.3892857142857,1026.2,1008.9,18.34702380952381,25.9,10.6,13.988095238095237,18.9,9.6,1.7999999999999998,76.88690476190476,94.0,48.0,206.0654761904762,14.8,2.1220238095238093
318.54285714285714,1020.972619047619,1021.7666666666667,1030.0,1010.3,17.95714285714286,25.1,14.4,15.272619047619049,19.4,11.5,14.200000000000001,84.6547619047619,93.0,64.0,172.39880952380952,12.8,2.575595238095238
451.82142857142856,1016.5886904761904,1017.367261904762,1020.6,1010.9,20.09285714285714,27.3,15.9,17.139285714285716,19.8,14.4,100.0,83.9702380952381,94.0,50.0,185.10714285714286,10.8,1.9297619047619048
463.9922619047619,1017.1035714285714,1017.8892857142857,1026.9,1009.4,18.95952380952381,26.2,14.5,14.108928571428573,20.2,1.0,11.2,74.39880952380952,93.0,35.0,203.41666666666666,16.8,2.175595238095238
675.0541666666667,1019.5666666666667,1020.3404761904762,1027.3,1003.9,19.120238095238093,27.9,9.2,13.00297619047619,20.0,1.3,4.6,68.98809523809524,92.0,32.0,203.4404761904762,11.1,1.7297619047619048
495.31726190476195,1014.4375,1015.1892857142857,1025.8,1003.3,21.154761904761905,31.1,14.9,17.23452380952381,21.5,8.9,60.2,79.23809523809524,92.0,42.0,195.9702380952381,13.9,2.6625
550.1696428571429,1014.7541666666667,1015.5357142857143,1021.4,1008.2,19.478571428571428,24.0,13.7,15.702976190476189,19.8,8.5,24.0,79.60714285714286,93.0,47.0,174.04166666666666,13.2,2.4327380952380953
883.652380952381,1018.0797619047619,1018.8565476190475,1024.6,1012.3,20.442261904761907,25.8,14.6,15.054166666666665,18.5,11.3,1.0,71.88690476190476,91.0,47.0,176.66666666666666,11.9,2.35
853.8720238095239,1016.5714285714286,1017.3119047619048,1022.5,1009.8,22.902380952380952,27.4,19.6,18.929166666666667,21.1,16.0,28.2,78.82142857142857,91.0,57.0,138.0297619047619,11.9,2.1351190476190474
886.5684523809524,1013.0726190476191,1013.8208333333333,1023.4,1001.8,21.29702380952381,29.5,15.0,16.035119047619048,20.9,10.0,46.0,72.98214285714286,91.0,31.0,167.9345238095238,12.9,2.681547619047619
1022.6208333333333,1017.4488095238095,1018.2255952380953,1020.7,1013.6,19.883928571428573,27.2,12.9,13.2625,17.9,4.6,7.6000000000000005,66.79761904761905,90.0,33.0,174.20833333333334,13.1,2.0767857142857142
682.9571428571429,1012.8499999999999,1013.5714285714286,1018.6,1005.9,23.15357142857143,30.8,19.4,19.773214285714285,22.8,16.4,59.4,81.91666666666667,92.0,55.0,152.49404761904762,10.0,1.6327380952380952
816.8191616766467,1013.5443113772454,1014.2964071856287,1019.8,1005.1,21.0562874251497,28.2,14.6,15.852694610778444,22.7,10.8,16.6,73.02994011976048,90.0,47.0,185.88023952095807,15.5,2.3706586826347302
942.5857142857143,1017.1011904761905,1017.8154761904761,1021.8,1010.0,24.676785714285714,30.2,19.3,19.623214285714283,22.4,15.7,9.8,74.10119047619048,91.0,51.0,142.8095238095238,12.7,2.3898809523809526
628.2119047619047,1013.8589285714285,1014.5880952380952,1021.6,1002.5,23.029761904761905,30.2,18.2,18.50595238095238,22.5,11.7,116.2,76.89880952380952,92.0,34.0,168.83928571428572,13.5,2.4267857142857143
1009.8130952380952,1012.7779761904762,1013.5035714285715,1019.2,1005.2,23.870833333333334,30.6,18.5,19.585714285714285,23.4,16.5,30.400000000000002,77.89880952380952,93.0,48.0,160.36904761904762,14.7,2.0267857142857144
783.4964285714285,1010.179761904762,1010.8857142857142,1014.7,1003.4,24.226190476190474,30.2,19.8,20.386309523809523,22.9,15.5,108.6,79.79761904761905,92.0,57.0,168.89285714285714,13.8,2.0648809523809524
657.0761904761905,1014.5059523809524,1015.2232142857143,1017.1,1008.9,23.42202380952381,28.4,19.2,18.39345238095238,22.5,13.9,57.2,74.18452380952381,92.0,47.0,169.45833333333334,12.3,1.8196428571428571
854.577380952381,1012.039880952381,1012.7523809523809,1017.5,1004.1,24.625,32.3,18.4,19.1375,23.6,14.4,8.0,72.72619047619048,92.0,42.0,171.78571428571428,10.5,1.8452380952380953
960.5833333333334,1010.8654761904761,1011.5684523809524,1015.5,1005.0,26.1625,32.4,20.4,20.433333333333334,25.6,11.1,31.8,72.20833333333333,90.0,27.0,166.6845238095238,9.7,1.5672619047619047
878.1660714285714,1012.354761904762,1013.0619047619048,1018.9,1002.8,26.047619047619047,32.3,21.1,21.55297619047619,24.5,17.4,76.2,76.91666666666667,92.0,48.0,135.67857142857142,13.3,2.511904761904762
259.0791666666667,1016.2785714285714,1017.0321428571428,1020.9,1005.1,22.535714285714285,27.2,19.5,20.041071428571428,23.0,15.8,230.6,86.22619047619048,93.0,60.0,196.14285714285714,12.3,1.5767857142857142
564.514880952381,1008.9755952380953,1009.6755952380952,1013.6,1003.5,25.323809523809523,33.1,21.6,21.82202380952381,24.1,17.5,51.6,81.69047619047619,93.0,41.0,199.85119047619048,10.1,1.4083333333333332
1007.8910714285715,1009.9803571428572,1010.6857142857143,1014.5,1004.2,25.594047619047622,33.6,17.8,19.961309523809526,25.2,9.2,43.400000000000006,72.67857142857143,92.0,29.0,175.89285714285714,10.7,1.850595238095238
921.1767857142858,1013.3261904761904,1014.0386904761905,1016.9,1004.6,24.386309523809523,32.4,19.5,19.354761904761904,23.2,15.0,72.4,74.61309523809524,92.0,45.0,187.54166666666666,14.0,1.7101190476190478
1076.4238095238095,1009.3720238095239,1010.075,1017.2,1003.9,24.645238095238092,32.3,19.2,18.27916666666667,22.6,8.2,14.2,69.58333333333333,91.0,22.0,210.125,8.9,1.5708333333333333
657.9988095238095,1014.735119047619,1015.4476190476191,1019.0,1009.6,24.291666666666668,32.8,19.6,19.948809523809523,22.8,15.8,123.4,77.63690476190476,91.0,49.0,185.64880952380952,12.0,1.931547619047619
651.910119047619,1010.6767857142858,1011.3815476190476,1016.8,1002.0,24.06845238095238,30.6,19.4,20.354166666666668,23.6,15.7,195.2,80.75,93.0,50.0,182.33333333333334,9.3,1.1339285714285714
900.9220238095238,1012.2035714285715,1012.9154761904762,1016.0,1007.8,24.333928571428572,30.1,17.3,18.975595238095238,23.8,14.2,125.4,73.07738095238095,93.0,42.0,177.51785714285714,14.0,1.5095238095238095
755.8934523809525,1013.7464285714285,1014.4571428571428,1019.5,1006.6,25.56011904761905,31.4,20.2,20.627380952380953,23.6,15.4,2.4000000000000004,74.73214285714286,90.0,54.0,172.1904761904762,11.6,1.7886904761904763
622.1482142857143,1014.402380952381,1015.102380952381,1018.6,1008.3,25.27857142857143,30.5,21.1,20.91488095238095,23.4,17.6,15.4,77.4702380952381,92.0,52.0,187.29166666666666,11.4,1.6327380952380952
662.5910714285715,1014.3839285714286,1015.1083333333333,1021.1,1008.8,22.752380952380953,28.0,17.1,16.952380952380953,22.8,10.3,12.0,71.1547619047619,92.0,36.0,205.88690476190476,12.2,1.5470238095238094
618.7065476190476,1017.8904761904762,1018.6351190476191,1023.3,1007.8,23.336904761904762,30.7,18.5,19.070238095238096,22.2,14.5,23.6,78.08928571428571,92.0,44.0,188.89880952380952,9.8,1.0857142857142859
565.625,1016.7285714285714,1017.4696428571428,1021.7,1008.9,22.564880952380953,27.4,17.5,17.08214285714286,21.6,12.4,1.2000000000000002,72.06547619047619,90.0,42.0,193.8154761904762,13.7,1.5625
569.027380952381,1016.95,1017.7172619047619,1021.4,1009.6,21.09107142857143,26.5,16.9,17.154761904761905,20.6,14.0,53.6,78.89285714285714,91.0,54.0,193.00595238095238,12.6,1.4166666666666667
683.9636904761904,1019.4732142857143,1020.2464285714285,1025.8,1012.5,20.30595238095238,27.0,14.7,14.678571428571429,19.4,6.8,1.4000000000000001,71.54761904761905,92.0,37.0,190.99404761904762,8.5,1.3434523809523808
489.7059523809524,1019.8738095238094,1020.6529761904762,1028.4,1012.4,19.395238095238096,28.0,11.7,14.983928571428573,20.6,7.3,33.6,76.67261904761905,92.0,39.0,200.35714285714286,11.4,1.456547619047619
440.26190476190476,1020.0726190476191,1020.8702380952382,1024.8,1014.9,17.722619047619048,24.1,10.4,14.054166666666665,18.5,6.9,35.6,80.07142857142857,93.0,39.0,202.64285714285714,11.1,1.0642857142857143
525.0392857142857,1013.7291666666666,1014.5005952380952,1019.4,1004.0,19.251190476190477,28.5,12.2,13.464880952380952,18.7,-1.5,22.0,71.95238095238095,91.0,17.0,220.22619047619048,12.1,1.2214285714285713
449.177380952381,1014.7416666666667,1015.5267857142857,1021.5,1002.8,16.520238095238096,25.2,8.9,11.0625,18.6,2.4,25.8,72.19642857142857,93.0,29.0,224.92857142857142,9.9,1.2660714285714285
470.7392857142857,1017.5607142857143,1018.3428571428572,1022.6,1011.0,19.183928571428574,25.3,11.3,15.047023809523811,19.8,9.7,0.6000000000000001,77.69047619047619,94.0,52.0,187.88095238095238,14.9,1.3833333333333333
360.2568862275449,1019.3574850299402,1020.1532934131737,1024.4,1013.4,17.982035928143713,23.9,10.2,14.886826347305389,19.7,5.7,137.6,83.06586826347305,94.0,40.0,184.82634730538922,9.8,1.2131736526946106
290.87083333333334,1021.4535714285715,1022.2535714285715,1026.3,1017.4,15.539880952380951,22.4,10.0,11.526785714285714,15.9,5.5,109.2,77.98809523809524,94.0,48.0,199.0297619047619,11.8,1.4583333333333333
381.0345238095238,1018.7565476190476,1019.5529761904761,1026.6,1010.7,17.57202380952381,25.5,11.8,14.47857142857143,18.5,10.5,3.6,82.60714285714286,93.0,58.0,225.69642857142858,14.0,1.2601190476190476
463.0305389221557,1024.0862275449101,1024.88622754491,1029.4,1017.2,13.721556886227544,22.4,6.2,8.603592814371257,15.1,-1.3,49.6,73.34730538922156,93.0,33.0,213.31736526946108,12.2,1.4365269461077845
488.67261904761904,1022.3380952380952,1023.1339285714286,1027.1,1016.8,16.96011904761905,25.5,11.4,13.304761904761904,17.1,7.3,10.200000000000001,80.38095238095238,94.0,32.0,202.89285714285714,6.9,0.763095238095238
429.68095238095236,1017.367261904762,1018.1607142857143,1023.7,1010.7,17.98095238095238,25.8,10.5,13.122619047619047,17.3,-8.5,3.8,76.20833333333333,93.0,16.0,206.8154761904762,12.0,1.6773809523809524
599.3565476190475,1022.617857142857,1023.4166666666666,1029.8,1013.7,15.118452380952382,23.0,7.1,9.681547619047619,16.3,-5.9,0.2,72.41071428571429,94.0,25.0,197.36904761904762,10.8,1.4011904761904763
513.7472392638037,1022.1141104294479,1022.9092024539877,1032.1,1008.5,13.691411042944784,26.2,4.0,7.566871165644172,16.5,-6.6,8.0,69.03680981595092,92.0,23.0,211.66871165644173,12.3,1.5
456.82797619047625,1027.0184523809523,1027.8172619047618,1031.2,1018.7,16.807142857142857,23.8,9.5,13.954166666666667,17.8,8.0,11.8,83.80357142857143,94.0,55.0,171.20238095238096,10.9,1.2815476190476192
399.31666666666666,1021.7541666666667,1022.5541666666667,1028.0,1013.7,16.086904761904762,23.4,12.0,12.908333333333333,17.8,6.4,29.6,81.88095238095238,94.0,62.0,183.52380952380952,14.5,2.0922619047619047
545.614880952381,1016.055357142857,1016.8380952380952,1021.0,1010.0,19.35892857142857,28.3,14.8,15.588095238095239,18.3,9.6,1.0,80.38095238095238,94.0,34.0,169.6845238095238,12.7,1.625
361.6470238095238,1016.0107142857142,1016.7892857142857,1028.2,1004.8,18.219047619047622,24.6,12.1,14.62797619047619,18.3,8.8,5.4,80.14285714285714,94.0,58.0,186.17857142857142,13.1,1.6666666666666667
556.2238095238096,1019.4517857142857,1020.2410714285714,1027.3,1010.5,19.385119047619046,28.3,14.6,15.624404761904762,18.4,13.1,15.4,79.55357142857143,93.0,46.0,186.49404761904762,12.3,1.8494047619047618
518.925,1016.0327380952381,1016.8178571428571,1021.3,1008.6,19.54047619047619,25.4,14.0,15.838690476190477,19.8,7.7,49.0,79.94047619047619,92.0,48.0,171.89285714285714,12.3,1.4892857142857143
364.68690476190477,1017.6154761904761,1018.3851190476191,1028.8,1006.6,19.244642857142857,25.3,14.1,15.868452380952382,20.2,8.9,50.8,81.32738095238095,93.0,59.0,197.91071428571428,15.3,1.6339285714285714
667.9982142857143,1018.3458333333334,1019.1238095238094,1024.5,1008.0,19.514285714285716,26.4,14.0,14.688690476190475,20.2,6.7,6.4,74.61309523809524,93.0,46.0,184.57738095238096,13.9,1.8125
515.3535714285714,1014.0309523809525,1014.7952380952381,1020.6,1004.4,20.827380952380953,27.1,17.0,17.176190476190477,19.5,15.0,59.0,80.07738095238095,92.0,53.0,170.72619047619048,11.7,1.8672619047619048
329.76130952380953,1017.3684523809524,1018.1654761904762,1021.1,1008.3,18.160119047619048,22.7,15.6,13.976190476190476,19.1,9.3,43.0,77.11309523809524,92.0,55.0,185.35714285714286,13.0,1.7767857142857142
